"GameId","DriveId","Id","DriveNumber","PlayNumber","Offense","OffenseConference","OffenseScore","Defense","DefenseConference","DefenseScore","Home","Away","Period","Clock Minutes","Clock Seconds","OffenseTimeouts","DefenseTimeouts","Yardline","YardsToGoal","Down","Distance","YardsGained","Scoring","PlayType","PlayText","Ppa","Wallclock"
"401282105","4012821056","401282105101984601","6","2","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","1","53","2","2","60","40","1","10","15","false","Pass Reception","Stetson Bennett pass complete to Ladd McConkey for 15 yds to the Kent 25 for a 1ST down","0.4889647816712835","2021-10-16T20:18:32.000Z"
"401282105","4012821056","401282105101978001","6","1","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","2","19","2","2","50","50","1","10","10","false","Pass Reception","Stetson Bennett pass complete to Adonai Mitchell for 10 yds to the Kent 40 for a 1ST down","0.652362788184032","2021-10-16T20:17:57.000Z"
"401282105","4012821056","401282105102854501","6","7","Georgia","SEC","7","Kentucky","SEC","0","Georgia","Kentucky","2","14","54","2","2","81","19","3","4","19","true","Passing Touchdown","Stetson Bennett pass complete to James Cook for 19 yds for a TD, (Jack Podlesny KICK)","2.995220491710944","2021-10-16T20:28:16.000Z"
"401282105","4012821056","401282105101998901","6","5","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","0","10","2","2","72","28","2","13","9","false","Fumble Recovery (Own)","Stetson Bennett run for 9 yds to the Kent 19 Stetson Bennett fumbled, recovered by Geo Kendall Milton","0.516137915543506","2021-10-16T20:23:35.000Z"
"401282105","4012821056","401282105101998902","6","6","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","0","0","2","2","72","28","0","13","0","false","End Period","End of 1st Quarter","","2021-10-16T20:24:25.000Z"
"401282105","4012821054","401282105101944901","4","2","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","5","50","3","2","29","71","2","9","11","false","Pass Reception","Stetson Bennett pass complete to Adonai Mitchell for 11 yds to the Geo 40 for a 1ST down","1.7632517662246885","2021-10-16T20:08:01.000Z"
"401282105","4012821054","401282105101955001","4","7","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","4","49","2","2","45","55","4","5","0","false","Punt","Jake Camarda punt for 50 yds, downed at the Kent 5","","2021-10-16T20:13:17.000Z"
"401282105","4012821054","401282105101949901","4","6","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","5","0","2","2","45","55","3","5","0","false","Pass Incompletion","Stetson Bennett pass incomplete to Adonai Mitchell","-0.7890223538576766","2021-10-16T20:12:35.000Z"
"401282105","4012821054","401282105101947701","4","4","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","5","22","3","2","40","60","2","10","5","false","Rush","James Cook run for 5 yds to the Geo 45","0.0666921976583623","2021-10-16T20:09:02.000Z"
"401282105","4012821054","401282105101946401","4","3","Georgia","SEC","0","Kentucky","SEC","0","Georgia","Kentucky","1","5","35","3","2","40","60","1","10","0","false","Pass Incompletion","Stetson Bennett pass incomplete to Adonai Mitchell","-1.1247712359915258","2021-10-16T20:08:23.000Z"
