"GameId","DriveId","Id","DriveNumber","PlayNumber","Offense","OffenseConference","OffenseScore","Defense","DefenseConference","DefenseScore","Home","Away","Period","Clock Minutes","Clock Seconds","OffenseTimeouts","DefenseTimeouts","Yardline","YardsToGoal","Down","Distance","YardsGained","Scoring","PlayType","PlayText","Ppa","Wallclock"
"401628982","40162898221","401628982104976203","21","1","Notre Dame","FBS Independents","31","Georgia Tech","ACC","7","Georgia Tech","Notre Dame","4","2","37","2","1","65","65","0","0","20","false","Kickoff Return (Offense)","Eric Goins kickoff for 65 yds , Eric Singleton Jr. return for 20 yds to the GT 20","","2024-10-19T22:37:24.000Z"
"401628982","40162898222","401628982104999903","22","3","Notre Dame","FBS Independents","31","Georgia Tech","ACC","13","Georgia Tech","Notre Dame","4","0","0","2","-1","43","43","0","10","0","false","End of Game","End of 4th Quarter","","2024-10-19T22:52:57.000Z"
"401628982","40162898222","401628982104999901","22","2","Notre Dame","FBS Independents","31","Georgia Tech","ACC","13","Georgia Tech","Notre Dame","4","0","0","2","-1","42","42","1","10","-1","false","Rush","[NHSG] Kneel down by LEONARD, Riley at GT43 (team loss of 1), clock 00:00.","-1.12591037688377","2024-10-19T22:52:57.000Z"
"401628982","4016289821","401628982101849910","1","2","Notre Dame","FBS Independents","0","Georgia Tech","ACC","0","Georgia Tech","Notre Dame","1","15","0","3","3","75","75","1","10","7","false","Rush","Riley Leonard run for 7 yds to the ND 32","0.604642460086338","2024-10-19T19:34:40.000Z"
"401628982","4016289821","401628982101857001","1","3","Notre Dame","FBS Independents","0","Georgia Tech","ACC","0","Georgia Tech","Notre Dame","1","14","29","3","3","68","68","2","3","1","false","Rush","Jeremiyah Love run for 1 yd to the ND 33","-0.824229914711947","2024-10-19T19:34:40.000Z"
"401628982","4016289821","401628982101859801","1","4","Notre Dame","FBS Independents","0","Georgia Tech","ACC","0","Georgia Tech","Notre Dame","1","14","1","3","3","67","67","3","2","0","false","Pass Incompletion","Riley Leonard pass incomplete","-0.6013143962559822","2024-10-19T19:38:10.000Z"
"401628982","4016289821","401628982101865601","1","5","Notre Dame","FBS Independents","0","Georgia Tech","ACC","0","Georgia Tech","Notre Dame","1","13","43","3","3","67","67","4","2","4","false","Punt","James Rendell punt for 51 yds , Bailey Stockton returns for 4 yds to the GT 20","","2024-10-19T19:39:19.000Z"
"401628982","4016289823","401628982101897703","3","1","Notre Dame","FBS Independents","0","Georgia Tech","ACC","0","Georgia Tech","Notre Dame","1","10","22","3","3","80","80","1","10","19","false","Rush","Jadarian Price run for 19 yds to the ND 39 for a 1ST down","1.5310417591402368","2024-10-19T19:46:45.000Z"
"401628982","4016289823","401628982101904801","3","2","Notre Dame","FBS Independents","0","Georgia Tech","ACC","0","Georgia Tech","Notre Dame","1","9","51","3","3","61","61","1","10","7","false","Pass Reception","Riley Leonard pass complete to Jaden Greathouse for 7 yds to the ND 46","0.7076562230979297","2024-10-19T19:34:40.000Z"
"401628982","4016289823","401628982101908201","3","3","Notre Dame","FBS Independents","0","Georgia Tech","ACC","0","Georgia Tech","Notre Dame","1","9","17","3","3","54","54","2","3","1","false","Pass Reception","Riley Leonard pass complete to Beaux Collins for 1 yd to the ND 47","-1.039665518286375","2024-10-19T19:47:56.000Z"
