"GameId","DriveId","Id","DriveNumber","PlayNumber","Offense","OffenseConference","OffenseScore","Defense","DefenseConference","DefenseScore","Home","Away","Period","Clock Minutes","Clock Seconds","OffenseTimeouts","DefenseTimeouts","Yardline","YardsToGoal","Down","Distance","YardsGained","Scoring","PlayType","PlayText","Ppa","Wallclock"
"401114222","40111422212","401114222102988701","12","6","Notre Dame","FBS Independents","14","USC","Pac-12","3","Notre Dame","USC","2","1","12","2","3","62","38","3","6","10","false","Rush","Tony Jones Jr. run for 10 yds to the USC 28 for a 1ST down","1.5907361531653488","2019-10-13T00:20:28.000Z"
"401114222","40111422212","401114222102987401","12","5","Notre Dame","FBS Independents","14","USC","Pac-12","3","Notre Dame","USC","2","1","25","2","3","67","33","3","1","-5","false","Penalty","NOTRE DAME Penalty, False Start (-5 Yards) to the USC 38","","2019-10-13T01:00:33.000Z"
"401114222","40111422212","401114222102998401","12","11","Notre Dame","FBS Independents","17","USC","Pac-12","3","Notre Dame","USC","2","0","15","1","3","73","27","4","9","45","true","Field Goal Good","Jonathan Doerer 45 yd FG GOOD","0.715844796793096","2019-10-13T01:05:21.000Z"
"401114222","40111422214","401114222103876001","14","9","Notre Dame","FBS Independents","17","USC","Pac-12","3","Notre Dame","USC","3","12","39","3","3","66","34","3","10","0","false","Pass Incompletion","Ian Book pass incomplete to Jafar Armstrong","-1.0236879046157308","2019-10-13T01:35:19.000Z"
"401114222","40111422210","401114222102944401","10","1","Notre Dame","FBS Independents","7","USC","Pac-12","3","Notre Dame","USC","2","5","55","2","3","20","80","1","10","11","false","Rush","Tony Jones Jr. run for 11 yds to the NDame 31 for a 1ST down","0.7787667904900532","2019-10-13T00:45:16.000Z"
"401114222","40111422210","401114222102949401","10","3","Notre Dame","FBS Independents","7","USC","Pac-12","3","Notre Dame","USC","2","5","5","2","3","45","55","1","10","4","false","Rush","Tony Jones Jr. run for 4 yds to the NDame 49","-0.1607620955039497","2019-10-13T00:49:42.000Z"
"401114222","40111422210","401114222102946801","10","2","Notre Dame","FBS Independents","7","USC","Pac-12","3","Notre Dame","USC","2","5","31","2","3","31","69","1","10","14","false","Pass Reception","Ian Book pass complete to Cole Kmet for 14 yds to the NDame 45 for a 1ST down","1.3306777677986847","2019-10-13T00:46:15.000Z"
"401114222","40111422210","401114222102956101","10","4","Notre Dame","FBS Independents","14","USC","Pac-12","3","Notre Dame","USC","2","4","38","2","3","49","51","2","6","51","true","Rushing Touchdown","Braden Lenzy run for 51 yds for a TD, (Jonathan Doerer KICK)","4.437375332820315","2019-10-13T00:51:00.000Z"
"401114222","4011142221","401114222101849902","1","1","Notre Dame","FBS Independents","0","USC","Pac-12","0","Notre Dame","USC","1","15","0","3","3","35","65","1","10","0","false","Kickoff","Jonathan Doerer kickoff for 65 yds for a touchback","","2019-10-12T23:36:51.000Z"
"401114222","40111422222","401114222104994001","22","2","Notre Dame","FBS Independents","30","USC","Pac-12","27","Notre Dame","USC","4","0","59","3","1","50","50","1","10","-1","false","Rush","TEAM run for a loss of 1 yard to the NDame 49","-1.3492622133523626","2019-10-13T02:58:00.000Z"
"401114222","40111422222","401114222104996901","22","4","Notre Dame","FBS Independents","30","USC","Pac-12","27","Notre Dame","USC","4","0","30","3","0","49","51","2","11","-1","false","Rush","TEAM run for a loss of 1 yard to the NDame 48","-1.1297417850579086","2019-10-13T02:58:33.000Z"
"401114222","40111422222","401114222104999802","22","6","Notre Dame","FBS Independents","30","USC","Pac-12","27","Notre Dame","USC","4","0","0","3","0","0","100","0","12","0","false","End Period","End of 4th Quarter","","2019-10-13T02:58:33.000Z"
"401114222","40111422222","401114222104999801","22","5","Notre Dame","FBS Independents","30","USC","Pac-12","27","Notre Dame","USC","4","0","1","3","0","48","52","3","12","-1","false","Rush","TEAM run for a loss of 1 yard to the NDame 47","-0.6382955662432996","2019-10-13T02:58:33.000Z"
"401114222","40111422222","401114222104994101","22","3","Notre Dame","FBS Independents","30","USC","Pac-12","27","Notre Dame","USC","4","0","58","3","0","49","51","2","11","0","false","Timeout","Timeout USC, clock 00:58","","2019-10-13T02:58:15.000Z"
"401114222","40111422220","401114222104905401","20","3","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","9","45","3","3","28","72","2","7","0","false","Rush","Ian Book run for no gain to the NDame 28","-0.5594317282120231","2019-10-13T02:30:51.000Z"
"401114222","40111422220","401114222104915401","20","6","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","8","45","3","3","46","54","2","1","1","false","Rush","Tony Jones Jr. run for 1 yd to the NDame 47 for a 1ST down","-0.4203427161887472","2019-10-13T02:32:31.000Z"
"401114222","40111422220","401114222104916901","20","7","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","8","30","3","3","47","53","1","10","13","false","Rush","Jahmir Smith run for 13 yds to the USC 40 for a 1ST down","0.9062502896359667","2019-10-13T02:13:27.000Z"
"401114222","40111422220","401114222104936901","20","11","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","6","30","3","3","59","41","1","21","12","false","Pass Reception","Ian Book pass complete to Cole Kmet for 12 yds to the USC 29","1.18935948891883","2019-10-13T02:13:27.000Z"
"401114222","40111422220","401114222104906901","20","4","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","9","30","3","3","28","72","3","7","9","false","Pass Reception","Ian Book pass complete to Cole Kmet for 9 yds to the NDame 37 for a 1ST down","1.88244346829961","2019-10-13T02:32:00.000Z"
"401114222","40111422220","401114222104958401","20","14","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","4","15","3","3","87","13","1","10","5","false","Rush","Tony Jones Jr. run for 5 yds to the USC 8","0.074681000091786","2019-10-13T02:13:27.000Z"
"401114222","40111422220","401114222104929901","20","10","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","7","0","3","3","74","26","1","10","-11","false","Rush","Ian Book run for 4 yds to the USC 26 NOTRE DAME Penalty, Personal Foul (-15 Yards) to the USC 41","-2.325230764431913","2019-10-13T02:13:27.000Z"
"401114222","40111422220","401114222104949901","20","13","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","5","0","3","3","70","30","3","10","17","false","Rush","Ian Book run for 17 yds to the USC 13 for a 1ST down","1.5970021970242088","2019-10-13T02:13:27.000Z"
"401114222","40111422220","401114222104909901","20","5","Notre Dame","FBS Independents","23","USC","Pac-12","20","Notre Dame","USC","4","9","0","3","3","37","63","1","10","9","false","Rush","Tony Jones Jr. run for 9 yds to the NDame 46","1.3755540761931897","2019-10-13T02:32:19.000Z"
"401114222","40111422220","401114222104966601","20","15","Notre Dame","FBS Independents","30","USC","Pac-12","20","Notre Dame","USC","4","3","33","3","3","92","8","2","5","8","true","Rushing Touchdown","Ian Book run for 8 yds for a TD, (Jonathan Doerer KICK)","2.464248214954061","2019-10-13T02:38:43.000Z"
