"GameId","DriveId","Id","DriveNumber","PlayNumber","Offense","OffenseConference","OffenseScore","Defense","DefenseConference","DefenseScore","Home","Away","Period","Clock Minutes","Clock Seconds","OffenseTimeouts","DefenseTimeouts","Yardline","YardsToGoal","Down","Distance","YardsGained","Scoring","PlayType","PlayText","Ppa","Wallclock"
"401404129","40140412925","401404129104925201","25","1","Notre Dame","FBS Independents","38","Syracuse","ACC","17","Syracuse","Notre Dame","4","7","47","3","2","2","2","1","2","2","true","Rushing Touchdown","Audric Estime run for 2 yds for a TD, (Blake Grupe KICK)","1.213235297672098","2022-10-29T19:05:06.000Z"
"401404129","40140412926","401404129104925203","26","1","Notre Dame","FBS Independents","38","Syracuse","ACC","17","Syracuse","Notre Dame","4","7","47","3","2","65","65","1","10","0","false","Kickoff","Zac Yoakam kickoff for 65 yds for a touchback","","2022-10-29T19:07:10.000Z"
"401404129","40140412927","401404129104945901","27","2","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","5","40","3","2","47","47","1","10","4","false","Rush","Logan Diggs run for 4 yds to the Syrac 43","-0.126781416396501","2022-10-29T19:21:32.000Z"
"401404129","40140412927","401404129104975401","27","8","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","2","45","3","1","2","2","2","2","0","false","Rush","Logan Diggs run for no gain to the Syrac 2","-0.476893758740638","2022-10-29T18:44:26.000Z"
"401404129","40140412927","401404129104975901","27","10","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","2","40","3","0","2","2","3","2","0","false","Rush","Logan Diggs run for no gain to the Syrac 2","-0.306522417191541","2022-10-29T19:26:46.000Z"
"401404129","40140412927","401404129104984101","27","11","Notre Dame","FBS Independents","41","Syracuse","ACC","24","Syracuse","Notre Dame","4","1","58","3","0","2","2","4","2","20","true","Field Goal Good","Blake Grupe 20 yd FG GOOD","","2022-10-29T19:27:23.000Z"
"401404129","40140412927","401404129104975402","27","9","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","2","45","3","0","2","2","3","0","0","false","Timeout","Timeout SYRACUSE, clock 02:45","","2022-10-29T18:44:26.000Z"
"401404129","40140412927","401404129104974801","27","7","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","2","51","3","1","2","2","2","0","0","false","Timeout","Timeout SYRACUSE, clock 02:51","","2022-10-29T19:24:30.000Z"
"401404129","40140412927","401404129104946901","27","3","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","5","30","3","2","43","43","2","6","2","false","Rush","Logan Diggs run for 2 yds to the Syrac 41","-0.6109284227468323","2022-10-29T19:22:01.000Z"
"401404129","40140412927","401404129104959901","27","4","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","4","0","3","2","41","41","3","4","7","false","Rush","Audric Estime run for 7 yds to the Syrac 34 for a 1ST down","1.4141859194960933","2022-10-29T19:22:58.000Z"
"401404129","40140412927","401404129104966401","27","5","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","3","35","3","2","34","34","1","10","28","false","Rush","Audric Estime run for 28 yds to the Syrac 6 for a 1ST down","0.884236389848393","2022-10-29T19:23:42.000Z"
"401404129","40140412927","401404129104969901","27","6","Notre Dame","FBS Independents","38","Syracuse","ACC","24","Syracuse","Notre Dame","4","3","0","3","2","6","6","1","6","4","false","Rush","Logan Diggs run for 4 yds to the Syrac 2","-0.015446754256946","2022-10-29T19:24:18.000Z"
"401404129","40140412928","401404129104984102","28","1","Notre Dame","FBS Independents","41","Syracuse","ACC","24","Syracuse","Notre Dame","4","1","58","3","0","65","65","4","6","0","false","Kickoff","Zac Yoakam kickoff for 40 yds fair catch by Trebor Pena at the Syrac 4","","2022-10-29T19:27:23.000Z"
"401404129","40140412929","401404129104997902","29","3","Notre Dame","FBS Independents","41","Syracuse","ACC","24","Syracuse","Notre Dame","4","0","0","3","0","30","30","0","11","0","false","End of Game","End of 4th Quarter","","2022-10-29T19:32:24.000Z"
