"GameId","DriveId","Id","DriveNumber","PlayNumber","Offense","OffenseConference","OffenseScore","Defense","DefenseConference","DefenseScore","Home","Away","Period","Clock Minutes","Clock Seconds","OffenseTimeouts","DefenseTimeouts","Yardline","YardsToGoal","Down","Distance","YardsGained","Scoring","PlayType","PlayText","Ppa","Wallclock"
"332850150","33285015014","332850150148","14","4","Navy","FBS Independents","7","Duke","ACC","28","Duke","Navy","3","3","37","3","3","77","77","2","4","2","false","Rush","Noah Copeland rush for 2 yards to the Navy 25, tackled by Justin Foxx and David Helton.","-0.40452891714492895",""
"332850150","33285015014","332850150153","14","8","Navy","FBS Independents","7","Duke","ACC","28","Duke","Navy","3","1","15","2","3","71","71","1","10","0","false","Pass Incompletion","Keenan Reynolds pass incomplete to Matt Aiken, hurried by Kelby Brown.","-0.8305196050291288",""
"332850150","33285015014","332850150149","14","5","Navy","FBS Independents","7","Duke","ACC","28","Duke","Navy","3","3","37","3","3","75","75","3","2","1","false","Rush","Noah Copeland rush for 1 yard to the Navy 26, tackled by Jamal Bruce.","-0.3458905969021515",""
"332850150","33285015014","332850150147","14","3","Navy","FBS Independents","7","Duke","ACC","28","Duke","Navy","3","3","37","3","3","83","83","1","10","6","false","Rush","Keenan Reynolds rush for 6 yards to the Navy 23, tackled by Jordan DeWalt-Ondijo.","0.2630652541633021",""
"332850150","33285015014","332850150151","14","7","Navy","FBS Independents","7","Duke","ACC","28","Duke","Navy","3","1","15","2","3","74","74","4","1","3","false","Rush","Keenan Reynolds rush for 3 yards to the Navy 29, tackled by Jordan DeWalt-Ondijo and Kelby Brown for a 1ST down.","1.2469199696804711",""
"332850150","33285015014","332850150150","14","6","Navy","FBS Independents","7","Duke","ACC","28","Duke","Navy","3","1","15","2","3","74","74","4","1","0","false","Timeout","Timeout NAVY, clock 01:15.","",""
"332850150","33285015006","332850150068","6","1","Navy","FBS Independents","0","Duke","ACC","7","Duke","Navy","2","9","35","2","3","75","75","1","10","9","false","Rush","DeBrandon Sanders rush for 9 yards to the Navy 34, tackled by Dwayne Norman.","1.252308359788624",""
"332850150","33285015006","332850150071","6","4","Navy","FBS Independents","0","Duke","ACC","7","Duke","Navy","2","9","35","2","3","12","12","1","10","5","false","Rush","Chris Swain rush for 5 yards to the Duke 7, tackled by Jamal Bruce and David Helton.","0.0748456356820665",""
"332850150","33285015006","332850150073","6","6","Navy","FBS Independents","7","Duke","ACC","7","Duke","Navy","2","7","49","2","3","3","3","-1","-1","0","true","Extra Point Good","Nick Sloan extra point GOOD.","",""
"332850150","33285015006","332850150070","6","3","Navy","FBS Independents","0","Duke","ACC","7","Duke","Navy","2","9","35","2","3","59","59","1","10","47","false","Rush","Marcus Thomas rush for 47 yards to the Duke 12, tackled by Jeremy Cash for a 1ST down.","2.1289178077625017",""
"332850150","33285015006","332850150072","6","5","Navy","FBS Independents","6","Duke","ACC","7","Duke","Navy","2","7","49","2","3","7","7","2","5","7","true","Rush","Darius Staten rush for 7 yards for a TOUCHDOWN.","",""
"332850150","33285015006","332850150074","6","7","Navy","FBS Independents","0","Duke","ACC","7","Duke","Navy","2","7","49","2","3","65","65","-1","-1","36","false","Kickoff","Austin Grebe kickoff for 63 yards returned by DeVon Edwards for 36 yards to the Duke 38, tackled by Austin Grebe.","",""
"332850150","33285015006","332850150069","6","2","Navy","FBS Independents","0","Duke","ACC","7","Duke","Navy","2","9","35","2","3","66","66","2","1","7","false","Rush","DeBrandon Sanders rush for 7 yards to the Navy 41, tackled by Ross Cockrell for a 1ST down.","0.1664344101342703",""
"332850150","33285015020","332850150197","20","1","Navy","FBS Independents","7","Duke","ACC","35","Duke","Navy","4","0","7","2","3","73","73","1","10","3","false","Rush","Quinton Singleton rush for 3 yards to the Navy 30, tackled by Deion Williams and Chris Hoover.","-0.3204076759721195",""
"332850150","33285015008","332850150101","8","9","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","4","35","2","3","46","46","2","20","0","false","Pass Incompletion","Keenan Reynolds pass incomplete.","-0.7682767433558828",""
"332850150","33285015008","332850150107","8","15","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","0","28","1","3","6","6","1","6","0","false","Pass Incompletion","Team pass incomplete.","-0.476177221716661",""
"332850150","33285015008","332850150106","8","14","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","0","28","1","3","11","11","3","2","5","false","Rush","Keenan Reynolds rush for 5 yards to the Duke 6, tackled by Carlos Wray for a 1ST down.","0.603625220795788",""
"332850150","33285015008","332850150094","8","3","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","4","35","2","3","73","73","3","8","10","false","Pass Completion","Keenan Reynolds pass complete to Darius Staten for 10 yards to the Navy 37, tackled by Ross Cockrell for a 1ST down.","1.958655521602238",""
"332850150","33285015008","332850150091","8","1","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","4","35","2","3","75","75","1","10","2","false","Rush","DeBrandon Sanders rush for 2 yards to the Navy 27, tackled by Dwayne Norman out-of-bounds.","-0.45260367932203766",""
"332850150","33285015008","332850150100","8","8","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","4","35","2","3","41","41","2","15","0","false","Penalty","NAVY penalty 5 yard false start accepted.","",""
"332850150","33285015008","332850150098","8","6","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","4","35","2","3","36","36","1","10","4","false","Rush","Noah Copeland rush for 4 yards to the Duke 32, tackled by Dezmond Johnson.","-0.0714896390997507",""
"332850150","33285015008","332850150097","8","5","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","4","35","2","3","59","59","2","6","23","false","Pass Completion","Keenan Reynolds pass complete to Ryan Williams-Jenkins for 23 yards to the Duke 36, tackled by DeVon Edwards for a 1ST down.","2.204157559880912",""
"332850150","33285015008","332850150102","8","10","Navy","FBS Independents","7","Duke","ACC","14","Duke","Navy","2","4","35","2","3","46","46","3","20","27","false","Pass Completion","Keenan Reynolds pass complete to DeBrandon Sanders for 27 yards to the Duke 19, tackled by Dwayne Norman for a 1ST down.","3.9480226439892077",""
